,Date,Runway,Target_Set_By_Controllers,Upper_Threshold_Set_By_Controllers,Lower_Threshold_Set_By_Controllers,Time_Metering_Triggered,Max_Active_Delay_When_Triggered,Number_Active_Aircraft_When_Triggered,Max_Planning_Delay_When_Triggered,Number_Planning_Aircraft_When_Triggered,Max_Uncertain_Delay_When_Trigger,Time_Trigger_12MinActiveDelay_12MinPlanningDelay
46,2017-12-22,18L,14,18,13,2017-12-22 14:29:56,0 days 00:07:19,13,0 days 00:16:44,6,0 days 00:37:42,2017-12-22 14:49:26
47,2017-12-22,18C,14,18,13,2017-12-22 14:30:36,0 days 00:02:42,9,0 days 00:10:44,5,0 days 00:19:15,False
48,2017-12-23,18L,14,18,13,2017-12-23 14:41:05,0 days 00:01:37,7,0 days 00:01:57,3,0 days 00:19:44,2017-12-23 14:55:25
49,2017-12-23,18C,14,18,13,2017-12-23 14:33:46,0 days 00:02:38,12,0 days 00:11:50,10,0 days 00:23:45,False
50,2017-12-24,36R,12,14,10,2017-12-24 14:22:55,0 days 00:01:02,5,0 days 00:03:03,2,0 days 00:34:03,False
51,2017-12-24,36C,12,14,10,2017-12-24 14:22:55,0 days 00:03:29,12,0 days 00:14:20,7,0 days 00:07:18,2017-12-24 14:55:16
52,2017-12-25,36R,14,18,13,2017-12-25 14:14:05,0 days 00:00:14,1,0 days 00:06:47,5,0 days 00:22:54,False
53,2017-12-25,36C,14,18,13,2017-12-25 14:37:45,0 days 00:08:31,15,0 days 00:08:37,7,0 days 00:18:29,False
54,2017-12-26,36R,12,1,-2,False,False,False,False,False,False,2017-12-26 14:39:06
55,2017-12-26,36C,12,1,-2,False,False,False,False,False,False,2017-12-26 14:49:46
56,2017-12-27,36R,12,1,-2,False,False,False,False,False,False,2017-12-27 14:33:46
57,2017-12-27,36C,12,1,-2,False,False,False,False,False,False,2017-12-27 14:48:56
58,2017-12-28,36R,14,18,13,2017-12-28 14:41:27,0 days 00:11:41,7,0 days 00:14:58,5,0 days 00:35:46,2017-12-28 14:40:26
59,2017-12-28,36C,14,18,13,2017-12-28 14:42:16,0 days 00:10:58,16,0 days 00:18:07,10,0 days 00:16:38,2017-12-28 14:43:16
60,2017-12-28,18C,14,18,13,False,False,False,False,False,False,False
61,2018-01-01,36R,14,17,13,False,False,False,False,False,False,False
62,2018-01-01,36C,14,17,13,2018-01-01 14:20:56,0 days 00:01:00,6,0 days 00:07:13,12,0 days 00:17:02,False
63,2018-01-02,36R,12,14,10,2018-01-02 14:33:56,0 days 00:02:15,7,0 days 00:07:00,4,0 days 00:18:51,2018-01-02 14:58:36
